person_age,person_income,person_emp_length,name,cb_person_default_on_file,cb_person_cred_hist_length,person_id
26,225000,2.0,Ryan Stone,N,2,127
22,49464,5.0,Ian Rios,N,3,128
23,50000,1.0,Erin Green,N,3,129
25,50000,4.0,Haley Valentine,N,2,130
24,44000,2.0,Adrienne Williams,N,2,131
23,50000,1.0,Michelle Richards,N,4,132
22,50004,0.0,Kathleen Campbell,N,2,133
22,50004,3.0,Anthony Murray,N,3,134
22,52000,2.0,Johnny Arnold,N,4,135
23,13200,3.0,Sharon Daniels,N,4,136
24,220000,1.0,Cynthia Cohen,N,2,137
23,216000,5.0,Joseph Keith,N,3,138
25,216000,2.0,Anthony Wright,N,3,139
26,216000,10.0,Hector Contreras,Y,2,140
23,215000,7.0,William Hester,Y,3,141
26,215000,11.0,Bryan Walters,N,2,142
23,52000,1.0,Angela Lester,N,2,143
26,46000,2.0,Todd Ortega,N,4,144
22,53000,5.0,Reginald Erickson,Y,4,145
26,47000,0.0,Christopher Maxwell,Y,2,146
23,47000,1.0,Michael Ellis,N,2,147
23,13200,2.0,Tina Marshall,N,4,148
21,13200,0.0,Taylor Barnes,N,4,149
22,210000,6.0,Elizabeth Nelson,N,4,150
26,210000,10.0,Xavier Harris,N,4,151
26,48000,5.0,Amanda Vaughn,N,2,152
22,54996,6.0,Betty Bowman,N,4,153
24,55000,4.0,Olivia Olson,Y,4,154
23,55000,4.0,David Bell,N,3,155
23,55000,4.0,Denise Williams,Y,3,156
24,55164,8.0,Leslie Tran,Y,4,157
26,56000,4.0,Cindy Ramirez,N,2,158
24,203500,8.0,John Gutierrez,N,3,159
23,190000,5.0,Sara Clay,Y,3,160
23,13920,2.0,Phillip Sutton,N,4,161
24,60000,0.0,Joel Brewer,N,3,162
24,60000,2.0,Shannon Wade,N,3,163
26,54000,7.0,Dawn Chan,Y,2,164
23,14000,2.0,Todd Smith,N,3,165
24,200000,8.0,Kevin Reid,N,2,166
24,200000,8.0,Nichole Wilson,N,2,167
21,200000,5.0,Corey Morales,N,4,168
25,54000,3.0,Isabella Brandt,N,4,169
23,60000,3.0,Elizabeth Clayton,N,3,170
23,60000,7.0,Teresa Hodge,N,4,171
21,60000,6.0,Stacy Patterson,N,4,172
25,61959,9.0,Todd Dorsey,N,2,173
22,56400,2.0,Raymond Torres,Y,3,174
23,200000,7.0,Courtney Weber,N,2,175
21,200000,2.0,Heather Fuentes,N,2,176
24,200000,3.0,Crystal Mills,N,4,177
26,200000,4.0,Robert Sherman,N,3,178
25,200000,2.0,Dennis Brown,N,2,179
24,200000,8.0,Stephanie Hayes,N,4,180
24,66000,3.0,Robert Mcgee,N,2,181
22,66000,6.0,Ann Clark,Y,3,182
22,200000,6.0,Jason Lowe,N,4,183
144,200000,4.0,Mark Herman,N,2,184
25,200000,5.0,Melissa Ryan,N,3,185
25,200000,2.0,Johnny Miranda,N,2,186
25,200000,9.0,Erin Reyes,N,3,187
24,200000,8.0,Candace Allen,N,3,188
24,60000,2.0,Lisa Leach,Y,2,189
21,14400,0.0,Oscar Garcia,N,4,190
26,66996,10.0,Samuel Garcia,Y,2,191
23,67000,3.0,Ronnie Rivera,N,4,192
24,67000,2.0,Debbie Hall,N,3,193
24,68000,5.0,Audrey Moore,Y,3,194
25,69000,9.0,Kenneth Myers,N,2,195
25,200000,0.0,Jessica Morris,N,3,196
26,188000,10.0,David Robertson,N,2,197
26,200000,4.0,Nicholas Garza,N,3,198
25,69996,9.0,Richard Mcbride,N,3,199
22,14400,2.0,Julie Simpson,N,3,200
24,70000,3.0,Nancy Little,N,4,201
24,14400,5.0,Judith Hodges,N,3,202
24,56100,7.0,Jennifer Hart,N,4,203
25,66000,9.0,Nicholas Buck,Y,2,204
26,66000,3.0,Kelly Brown,N,4,205
25,14400,7.0,Gail Roach,N,2,206
25,72612,9.0,Alvin Sosa,N,2,207
23,74000,3.0,Katherine Diaz,N,3,208
25,75000,9.0,Crystal Roberts,N,2,209
24,192000,0.0,Mary Payne,Y,2,210
21,192000,123.0,Julia Decker,N,4,211
25,191000,1.0,Jessica Mullins,N,4,212
26,190300,5.0,Paul Bernard,N,3,213
22,190000,3.0,Tanner Tran,N,3,214
24,75000,4.0,Jessica Webster,N,4,215
22,71000,1.0,Craig Jackson,Y,4,216
26,190000,3.0,Vanessa Andersen,N,4,217
23,189996,0.0,Donald Fowler,N,3,218
23,78000,7.0,Julie Day,Y,2,219
23,78000,1.0,Kelly Sharp,N,3,220
23,78504,7.0,Belinda Delgado,N,3,221
25,186000,9.0,Victor Kirby,N,4,222
24,185000,0.0,Vickie Gutierrez,N,2,223
25,185000,6.0,Corey Herrera,N,2,224
24,62050,8.0,Sean Shepard,Y,2,225
23,79416,7.0,Paul Miles,Y,2,226
21,14400,4.0,Alejandro Schmidt,N,2,227
24,79631,8.0,Christina Thomas,Y,2,228
24,79632,0.0,Rachel Martin,N,4,229
21,14400,0.0,Jacob Powers,N,4,230
24,80000,6.0,Amber Watson,N,2,231
26,80000,5.0,Angela Ruiz,N,4,232
22,185000,4.0,Jeff Tran,N,2,233
26,185000,10.0,Adam Coleman,N,2,234
24,184992,7.0,Antonio Brown,Y,4,235
23,184000,5.0,Leah Sawyer,N,2,236
24,172000,6.0,Mark Chan,Y,4,237
24,183000,2.0,Mary Prince,N,3,238
22,183000,3.0,Eduardo Edwards,N,2,239
25,182952,9.0,Tammy Alvarado,N,3,240
23,74004,7.0,Madison Scott,N,4,241
26,74004,10.0,Terri Scott,Y,4,242
25,81000,5.0,Dana Johnson,N,3,243
23,81600,1.0,Alexis Parsons,N,3,244
24,82000,8.0,Christy Crosby,N,2,245
24,83000,5.0,Shirley Middleton,N,3,246
24,83000,5.0,Caleb Munoz,Y,3,247
24,180000,8.0,Katherine Snyder,Y,4,248
23,180000,8.0,Steven Gomez,N,3,249
23,14400,2.0,Christine Roberts,N,2,250
22,14400,0.0,Nicole Barron,N,4,251
22,84500,6.0,Julie Merritt,N,4,252
24,85000,5.0,Steven Johnson,N,4,253
24,180000,7.0,Patrick Warren,N,2,254
26,180000,2.0,Shawn Carlson,N,4,255
25,142800,9.0,Lee Charles,N,4,256
23,14664,0.0,Samuel Holmes,N,4,257
24,87000,8.0,Jonathon Smith,N,3,258
24,75000,0.0,Rachel Martinez,Y,3,259
23,76000,7.0,Ethan Patel,N,4,260
23,66215,1.0,Leslie Fry,Y,2,261
25,90000,9.0,Amy Lawrence,N,4,262
21,15000,0.0,Christina Boone,N,2,263
26,180000,2.0,Stephanie Lopez,N,4,264
24,180000,8.0,Teresa Johnson,N,3,265
25,180000,9.0,Lori Le,Y,4,266
26,180000,0.0,Christopher Henderson,N,4,267
25,180000,3.0,Valerie Roberts,N,2,268
23,15000,7.0,Michael Newton,N,4,269
23,78000,2.0,Dakota Cooper,Y,3,270
25,66300,3.0,Claire Hester,Y,4,271
23,90000,0.0,Cheryl Dunn,N,3,272
24,79000,9.0,Megan Weaver,Y,4,273
24,91800,4.0,Jeremiah Goodman,Y,3,274
25,92000,6.0,Lindsay Lowe,N,3,275
24,92000,1.0,Eric Reyes,Y,4,276
23,93600,3.0,Shannon Daniels,N,4,277
23,15000,1.0,Elizabeth Rios,Y,3,278
23,70550,3.0,Sandra Mclean,Y,4,279
25,83800,2.0,Bethany Evans,Y,3,280
26,175000,3.0,Robert Palmer,N,4,281
25,175000,10.0,Sue Wilson,N,2,282
22,175000,6.0,Jessica Weaver,N,2,283
23,175000,8.0,Peter Tran,N,3,284
23,15000,4.0,Erica Stephens,N,4,285
23,15000,4.0,Ryan Hunt,N,2,286
22,88000,6.0,Erin Watson,Y,2,287
25,74800,2.0,Dean Black,N,2,288
25,88000,0.0,Rebecca Richard,N,4,289
25,15000,2.0,Julie Dyer,Y,4,290
26,88000,2.0,Sean Lloyd,N,3,291
25,100000,1.0,Olivia Meyers,N,4,292
23,15000,0.0,Carla Johnson,N,4,293
24,102400,8.0,Hannah Moreno,N,3,294
24,92000,1.0,Shane Wilson,Y,4,295
23,93000,0.0,Holly Crawford,Y,2,296
22,175000,6.0,Robin Williams,Y,2,297
23,175000,3.0,Pamela Mcdaniel,N,3,298
25,174708,9.0,Kristine Fisher,N,3,299
25,174000,2.0,Jacob Montoya,N,3,300
26,174000,8.0,Kimberly Perkins,N,4,301
25,162000,5.0,Benjamin Sullivan,Y,3,302
26,173467,10.0,Russell Davies,N,4,303
21,15000,0.0,Ellen Conrad,Y,3,304
25,96000,2.0,Ronald Dunn,Y,4,305
21,15120,0.0,Tyler Dillon,N,2,306
24,97908,8.0,Sean Hartman,Y,2,307
26,110000,3.0,Gavin Martin,Y,2,308
23,15204,7.0,Adam Bryant,N,3,309
25,159600,0.0,Johnathan Munoz,Y,4,310
24,171500,6.0,Alexis King,N,4,311
25,170004,3.0,Amanda Beasley,N,4,312
24,158004,0.0,Elizabeth Oliver,Y,2,313
26,170000,0.0,James Little,N,3,314
24,83300,0.0,Michael Sharp,N,2,315
24,110000,7.0,Ronald Austin,Y,2,316
22,15360,7.0,Kelly Torres,N,3,317
25,134300,3.0,William Ward,N,2,318
25,170000,2.0,Christina Sullivan,N,2,319
22,100580,6.0,Kimberly Reynolds,Y,2,320
25,113000,7.0,William Potter,Y,4,321
24,120000,8.0,Ruben Lee,N,4,322
25,120000,6.0,Cody Mccarthy,N,2,323
23,120000,7.0,Heather Solis,N,2,324
24,91800,5.0,Cassandra Gonzalez,Y,2,325
21,15600,5.0,Ashley Ferguson,N,4,326
26,108000,2.0,Sally Hernandez,N,3,327
26,129996,6.0,Sean Riley,N,3,328
23,130000,4.0,Brenda Silva,Y,2,329
23,130000,7.0,Robert Medina,N,4,330
25,170000,4.0,Nicholas Adams,N,4,331
26,170000,0.0,James Bell,Y,2,332
22,169000,1.0,Alicia Riggs,N,3,333
26,168750,10.0,Annette Bowman,Y,3,334
23,168600,3.0,Katie Harris,N,3,335
24,168288,5.0,Carla Riggs,N,3,336
25,168000,2.0,Patricia Cline,N,2,337
24,133300,6.0,Anthony Ware,N,2,338
24,15600,5.0,Devin Nichols,N,4,339
24,134000,8.0,Anne Young,Y,3,340
25,134000,7.0,Elizabeth Reed,N,2,341
25,15600,0.0,Alexis Lewis,N,2,342
25,135000,5.0,Marilyn Hernandez,N,4,343
26,135660,10.0,Anna Kelly,N,4,344
25,145000,0.0,Stephanie Gutierrez,N,4,345
23,150000,4.0,Becky Carroll,N,3,346
23,165000,3.0,Brian Hunt,N,3,347
22,153000,5.0,Oscar Patterson,Y,2,348
24,165000,5.0,Tommy Stark,N,4,349
25,165000,0.0,Sabrina Norman,N,4,350
21,165000,5.0,Joanna Shaw,N,4,351
23,16000,7.0,Carolyn Saunders,N,2,352
23,16000,3.0,Anthony Farmer,Y,4,353
23,16000,7.0,Jacqueline Johnson,N,3,354
23,148000,1.0,Spencer Dunn,N,3,355
23,16000,1.0,Derrick Nichols,N,4,356
24,16020,3.0,Eric Taylor,Y,2,357
22,16094,2.0,Melissa Clark,N,3,358
25,175000,2.0,Christie Andrade,N,2,359
22,16200,6.0,Nathaniel Williams,N,3,360
24,185000,7.0,Erin Gray,Y,2,361
25,162000,9.0,Kathryn Schmidt,N,2,362
26,161000,10.0,Kelly Clark,N,4,363
22,160000,0.0,Spencer Aguilar,N,4,364
25,225000,5.0,Stephanie Thompson,N,4,365
25,16400,1.0,Vickie Long,N,4,366
23,16500,6.0,Jasmine Howell,N,4,367
25,49500,6.0,Mary Stevens,N,3,368
23,60000,4.0,Alex Carter,N,3,369
24,84200,8.0,Joshua Harris,N,4,370
22,16800,5.0,Brandon Anderson,N,2,371
24,92000,8.0,Scott Luna,N,4,372
23,160000,5.0,Jake Bowen,N,2,373
24,160000,9.0,Jennifer Roberts,N,4,374
25,160000,1.0,Brian Young,N,4,375
26,160000,6.0,Eugene Watkins,Y,4,376
25,125800,0.0,Jamie Dunlap,N,4,377
25,54000,2.0,Phyllis Weaver,N,4,378
23,62500,1.0,Bryan Morales,N,4,379
24,16800,0.0,Juan Alvarado,N,3,380
25,68400,9.0,Amy Mitchell,N,4,381
26,56045,1.0,Angela Chen,N,2,382
22,74000,7.0,William Kelly,Y,2,383
24,65453,9.0,Anthony Wolf,N,2,384
24,89908,1.0,Monica Ward,N,3,385
26,78000,0.0,Claire Reyes,Y,3,386
23,100000,0.0,Roy Mcdaniel,Y,2,387
23,103000,6.0,Rebecca Pineda,N,2,388
25,160000,2.0,Marcus Lewis,N,3,389
25,160000,5.0,Susan Salinas,N,4,390
24,160000,3.0,Janet Hill,N,3,391
23,160000,2.0,Cole Moore,Y,2,392
26,160000,0.0,Cynthia Murphy,N,4,393
21,160000,3.0,Jamie Myers,Y,4,394
25,160000,3.0,Rebecca Carlson,Y,2,395
22,16800,0.0,Tanner Green,Y,2,396
25,111996,9.0,Amy Lee,N,3,397
21,16800,0.0,Todd Walker,N,4,398
25,115200,0.0,Gina Harris,N,2,399
23,144000,0.0,Jeffrey Molina,N,3,400
23,287000,3.0,Jeremy Braun,N,3,401
22,108000,1.0,Jeremiah Lowery,Y,3,402
22,43000,7.0,Mary Perez,Y,3,403
23,47004,1.0,Teresa Curry,N,4,404
24,48000,4.0,Clayton Morris,Y,2,405
26,48000,4.0,Steven Tran,N,3,406
21,44964,2.0,Wanda Hawkins,Y,2,407
25,52000,0.0,Kari Mitchell,N,2,408
22,17352,0.0,Anthony Ellis,Y,3,409
24,47000,3.0,Elizabeth Mitchell,N,2,410
22,17400,6.0,Stephanie Carlson,N,2,411
22,49000,2.0,Kristin Oliver,N,4,412
26,60000,0.0,Tracy Burnett,N,4,413
25,60000,3.0,Stacey Hicks,N,4,414
22,60000,0.0,Chad Wood,N,3,415
21,60000,5.0,Jerry Bright,N,2,416
26,62004,9.0,Stephanie Haynes,N,3,417
22,62400,3.0,Thomas Boyle,N,2,418
26,65000,10.0,Stephen Andrews,N,2,419
22,17760,6.0,Amy Leblanc,Y,3,420
23,59000,5.0,Jennifer Henderson,Y,2,421
23,66000,6.0,Kyle Simmons,N,4,422
24,60000,0.0,Regina Whitney,N,4,423
25,66143,9.0,Dennis Greer,N,3,424
22,62250,3.0,Melissa Hawkins,Y,4,425
24,70000,8.0,Jose Dyer,N,4,426
23,74000,7.0,Paul Vargas,N,2,427
22,18000,3.0,Herbert King,N,4,428
22,75000,6.0,Mary Aguilar,N,4,429
24,75000,9.0,Natasha Anderson,N,3,430
24,75000,7.0,Cathy Bonilla,N,3,431
26,69000,0.0,Preston Sanders,N,3,432
23,78000,4.0,Maureen Johnson,N,3,433
22,18000,0.0,Kristen Chavez,N,3,434
24,80000,2.0,Tina Miller,N,2,435
22,18000,1.0,Brandon Gordon,N,4,436
23,18000,3.0,Eric Stewart,N,2,437
23,74700,6.0,Robin Garcia,N,2,438
26,88596,3.0,Eric Thomas,N,3,439
25,95000,4.0,Meghan Tucker,N,2,440
22,83000,6.0,Peter Martinez,N,3,441
25,95000,9.0,Shawn White,N,4,442
21,18000,3.0,Gerald Nelson,Y,4,443
21,18000,0.0,Ashley Estrada,N,2,444
26,100000,5.0,Philip Snyder,N,4,445
24,110000,7.0,Kristine Cabrera,N,4,446
24,18000,0.0,Jason Chapman,N,4,447
22,98000,7.0,Hunter Phillips,Y,2,448
26,103872,6.0,Corey Floyd,N,4,449
22,120000,4.0,Paul Diaz,N,4,450
24,120000,1.0,Nicholas Spencer,N,4,451
26,108000,9.0,Joel Henderson,N,3,452
24,124080,4.0,Bruce Francis,Y,4,453
23,18000,1.0,Brandon Freeman,N,2,454
24,130000,7.0,Robert Webb,N,3,455
25,135000,8.0,Michelle Elliott,N,2,456
24,135000,4.0,Jared Mcneil,N,2,457
23,114750,2.0,Amanda Hunt,Y,3,458
23,150000,0.0,Gene Gray,N,4,459
23,138000,7.0,Stephen Ochoa,Y,2,460
24,18000,6.0,Gary Cooper,N,3,461
21,18000,0.0,Katherine Garrett,N,4,462
26,155000,7.0,Christina Escobar,N,4,463
26,148000,1.0,Alexa Ramirez,N,2,464
26,170000,3.0,John Cruz,Y,2,465
21,18000,1.0,Taylor Steele,N,3,466
24,43896,8.0,Collin Powers,N,2,467
23,120000,4.0,Jose Hill,N,2,468
24,54996,2.0,Alexis Stone,N,3,469
24,18000,0.0,Bridget Brown,N,2,470
25,102000,9.0,Lee Rios,N,4,471
23,75000,3.0,Emily Green,N,4,472
22,18000,2.0,Donna Romero,N,2,473
22,18000,1.0,Emily Warner,Y,2,474
25,18000,1.0,Troy Gentry,N,3,475
21,18000,5.0,Steven Guerrero,N,2,476
22,66960,1.0,Amy Houston,N,2,477
22,43385,7.0,Pamela Rodriguez,N,3,478
25,56544,3.0,Alicia Frank,N,2,479
23,60000,2.0,Elizabeth Burns,N,4,480
24,18000,3.0,Jasmine Novak,Y,4,481
25,63208,9.0,Joshua Vincent,N,3,482
24,65000,0.0,Heather Evans,N,4,483
23,68000,7.0,Karl Jackson,N,2,484
22,18000,1.0,Kendra Gray,N,3,485
25,80000,9.0,David Montoya,N,2,486
24,88000,1.0,David Fox,N,2,487
22,58600,5.0,Blake Ware,N,4,488
23,70000,7.0,Keith Davis,N,2,489
24,18287,3.0,Joanna Gonzales,N,3,490
26,69846,2.0,Dale Miller,Y,2,491
24,73000,0.0,Christian Joyce,Y,4,492
24,18500,8.0,Scott Higgins,N,3,493
23,35000,2.0,Alicia Jordan,N,3,494
25,43000,9.0,Peter Clayton,N,2,495
25,52000,4.0,Elijah Thompson,N,2,496
21,18701,0.0,Jamie Moody,Y,4,497
22,57000,6.0,Jill Martin,N,3,498
25,58000,0.0,Alicia Vasquez,N,2,499
23,60000,6.0,Courtney Velez,N,4,500
24,60000,3.0,Scott Beck,Y,2,501
25,18840,5.0,Phillip Smith,N,2,502
26,56000,7.0,Derrick Taylor,N,3,503
22,70000,3.0,Jamie Carter,N,4,504
22,66000,1.0,Brian Suarez,N,2,505
23,74064,3.0,Kyle Garcia,N,3,506
24,76597,5.0,Eric Kennedy,N,2,507
22,19000,6.0,Kaitlyn Gallagher,N,3,508
26,77000,0.0,Abigail Morgan,N,3,509
21,19000,5.0,Tina Gallagher,N,3,510
24,80000,0.0,Brittany White,N,4,511
26,82600,10.0,Joshua Lara,N,2,512
24,19000,3.0,Scott Cook,N,2,513
25,19000,3.0,Mary Lopez,N,3,514
23,84000,3.0,Austin Neal,N,4,515
25,77650,8.0,Anthony Carroll,N,3,516
25,82000,1.0,Donna Roberson,N,2,517
21,19012,0.0,Melody Gonzales,N,3,518
23,99996,3.0,Virginia Rangel,N,4,519
23,110000,0.0,Gabrielle Salazar,N,3,520
22,19200,6.0,Paul Hale,N,2,521
25,57000,4.0,William Graham,N,2,522
24,54000,5.0,Oscar Simpson,N,2,523
23,56000,8.0,Joel Huynh,Y,4,524
26,63000,2.0,Jorge Wright,Y,3,525
22,82000,3.0,Kimberly West,Y,3,526
22,78000,6.0,Brandon Stone,N,3,527
22,19200,0.0,Aaron Atkins,N,3,528
24,112140,8.0,Savannah Bennett,N,2,529
24,19200,0.0,Thomas Fernandez,N,4,530
25,19200,4.0,Alejandro Williams,N,4,531
24,59000,5.0,James Walton,N,3,532
24,70000,5.0,Leslie Abbott,N,3,533
24,116000,5.0,Anthony Boyle,Y,3,534
25,60000,5.0,Adrian Ferguson,N,4,535
22,31000,5.0,Michelle Spencer,N,3,536
25,47052,5.0,Michele Peterson,N,2,537
25,51060,9.0,Teresa Alvarez,N,2,538
22,19200,6.0,Jennifer Estrada,Y,2,539
22,53000,3.0,Thomas Lee,N,3,540
26,19200,0.0,Elizabeth Farmer,N,2,541
24,56000,8.0,Jack Williams,Y,3,542
24,65000,4.0,Tiffany Foster,Y,4,543
21,35000,3.0,Amanda Villarreal,N,4,544
22,19200,6.0,John Abbott,Y,4,545
23,19200,7.0,Rose Woods,N,4,546
26,40000,3.0,Andrew Warren,N,4,547
25,19200,2.0,Brian Boyer,N,3,548
26,42000,0.0,Virginia Ross,Y,4,549
23,63000,2.0,Albert Jones,N,2,550
26,19200,5.0,Jennifer Perez,N,4,551
22,59000,2.0,Heidi Thomas,N,3,552
22,70500,3.0,Philip Gutierrez,Y,4,553
26,65219,11.0,Brian Wright,N,3,554
22,75000,2.0,John Bond,N,3,555
22,19200,3.0,Caitlin Moore,N,3,556
25,62047,9.0,Angela Mcdaniel,Y,4,557
24,79000,8.0,Melanie Ryan,N,2,558
23,80000,3.0,Taylor Turner,N,3,559
24,84000,8.0,Melissa Miller,N,4,560
26,85000,3.0,Nathan George,N,3,561
22,93000,1.0,Scott Suarez,N,3,562
26,81000,10.0,Jesse Ray,Y,3,563
26,97000,1.0,Monica Carter,N,3,564
26,97000,3.0,Adam Reyes,Y,3,565
25,100000,2.0,Christopher Johnson,Y,3,566
26,19200,0.0,Rebekah Wade,Y,2,567
21,19253,0.0,Pamela Hart,N,3,568
26,125000,5.0,Jeffery Travis,N,2,569
25,125000,9.0,Timothy Mejia,Y,3,570
23,82000,2.0,Lauren Perry,N,2,571
21,19500,0.0,Joseph Hawkins,N,2,572
26,50000,7.0,Mario Baker,N,3,573
23,70000,2.0,Erika Matthews,Y,3,574
22,19800,1.0,Michelle Fitzgerald,N,4,575
123,80004,2.0,Craig Thomas,N,3,576
23,54000,7.0,Deanna Mcdonald,N,2,577
26,26000,10.0,Patricia Curry,N,2,578
24,33000,1.0,Amanda Ramos,N,3,579
23,20000,0.0,Ryan Rodriguez,N,4,580
22,20000,6.0,Steven Waters,N,4,581
24,35364,1.0,Jessica Morrison,N,4,582
25,38000,4.0,John Banks,N,4,583
23,32000,3.0,Charles Paul,N,4,584
25,38004,6.0,Edward Martinez,N,2,585
23,20000,2.0,Anthony Chandler,N,4,586
25,38556,9.0,April Burns,Y,4,587
23,32900,1.0,Stacey Morris,N,2,588
25,34000,10.0,Luke Johnson,N,4,589
